"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat May 02 21:13:16 UTC 2026","Sat May 02 21:13:19 UTC 2026","2936","chromium","e2e/melhores-momentos.spec.ts","Página /melhores-momentos","","","@smoke @core carrega filtros + heading ""Melhores momentos das Partidas Finalizadas""",""
"failed","Sat May 02 21:12:39 UTC 2026","Sat May 02 21:12:44 UTC 2026","4793","firefox","a11y/pages.spec.ts","","","","@a11y calendario logado sem violations serious/critical",""
"failed","Sat May 02 21:13:01 UTC 2026","Sat May 02 21:13:03 UTC 2026","1756","webkit","a11y/pages.spec.ts","","","","@a11y home anônima sem violations serious/critical",""
"passed","Sat May 02 21:12:57 UTC 2026","Sat May 02 21:13:20 UTC 2026","22888","chromium","e2e/buscar-avancado.spec.ts","Busca avançada — typeahead, combos e reset","","","@core limpar filtros (refresh / click logo) restaura listagem inicial",""
"skipped","Sat May 02 21:13:38 UTC 2026","Sat May 02 21:13:38 UTC 2026","0","chromium","e2e/profile-popover.spec.ts","Profile popover (avatar logado)","","","@core Switch Google Calendar existe no popover do perfil",""
"passed","Sat May 02 21:12:50 UTC 2026","Sat May 02 21:12:55 UTC 2026","5454","firefox","api/endpoint-team-search.spec.ts","API GET /team/?name=Flamengo","","","@api retorna 200 e ao menos 1 resultado contendo o termo",""
"skipped","Sat May 02 21:13:06 UTC 2026","Sat May 02 21:13:06 UTC 2026","0","chromium","e2e/login-flow.spec.ts","Login email/senha → nav 4 tabs","","","@smoke @core login funciona e header passa a mostrar 4 tabs nav",""
"skipped","Sat May 02 21:14:28 UTC 2026","Sat May 02 21:14:28 UTC 2026","3","mobile-chrome","e2e/login-flow.spec.ts","Login email/senha → nav 4 tabs","","","@smoke @core login funciona e header passa a mostrar 4 tabs nav",""
"passed","Sat May 02 21:17:11 UTC 2026","Sat May 02 21:17:41 UTC 2026","29551","firefox","e2e/responsividade.spec.ts","Responsividade — mobile e tablet viewports","","","@core mobile 375x667: home renderiza, sem overflow horizontal, lista visível",""
"skipped","Sat May 02 21:15:46 UTC 2026","Sat May 02 21:15:46 UTC 2026","0","mobile-chrome","e2e/profile-popover.spec.ts","Profile popover (avatar logado)","","","@core Avatar click abre popover com 4 ações (Editar, Excluir, Sair, Switch Google Calendar)",""
"failed","Sat May 02 21:14:20 UTC 2026","Sat May 02 21:14:36 UTC 2026","16451","mobile-chrome","e2e/calendar-mensal.spec.ts","Calendar mensal — home widget","","","@core click em um dia clicável do calendar muda state visual",""
"passed","Sat May 02 21:12:29 UTC 2026","Sat May 02 21:12:35 UTC 2026","5970","mobile-chrome","api/endpoint-match-notstarted.spec.ts","API GET /match/?status=NOTSTARTED","","","@api retorna 200 com envelope válido (mesmo com results vazios)",""
"passed","Sat May 02 21:12:44 UTC 2026","Sat May 02 21:12:50 UTC 2026","5231","firefox","api/endpoint-match-inplay.spec.ts","API GET /match/?status=INPLAY","","","@api retorna 200 e envelope válido (results pode ser vazio)",""
"passed","Sat May 02 21:13:38 UTC 2026","Sat May 02 21:13:47 UTC 2026","8650","chromium","e2e/responsividade.spec.ts","Responsividade — mobile e tablet viewports","","","@core tablet 768x1024: nav tabs visíveis e clicáveis",""
"failed","Sat May 02 21:13:26 UTC 2026","Sat May 02 21:13:36 UTC 2026","10160","webkit","api/endpoint-match-notstarted.spec.ts","API GET /match/?status=NOTSTARTED","","","@api retorna 200 com envelope válido (mesmo com results vazios)",""
"skipped","Sat May 02 21:14:17 UTC 2026","Sat May 02 21:14:17 UTC 2026","1","firefox","e2e/calendario-page.spec.ts","/calendario — página dedicada (logado)","","","@core /calendario carrega para usuário logado, mostra side panel + grade semanal",""
"passed","Sat May 02 21:15:14 UTC 2026","Sat May 02 21:15:23 UTC 2026","9169","firefox","e2e/navegacao.spec.ts","Navegação — anônimo e logado","","","@core fluxo Home → Melhores momentos → Home (anônimo)",""
"skipped","Sat May 02 21:14:26 UTC 2026","Sat May 02 21:14:26 UTC 2026","1","mobile-chrome","e2e/calendario-page.spec.ts","/calendario — página dedicada (logado)","","","@core /calendario carrega para usuário logado, mostra side panel + grade semanal",""
"skipped","Sat May 02 21:14:21 UTC 2026","Sat May 02 21:14:21 UTC 2026","0","firefox","e2e/login-flow.spec.ts","Login email/senha → nav 4 tabs","","","@smoke @core login funciona e header passa a mostrar 4 tabs nav",""
"passed","Sat May 02 21:16:38 UTC 2026","Sat May 02 21:16:54 UTC 2026","15697","webkit","e2e/responsividade.spec.ts","Responsividade — mobile e tablet viewports","","","@core tablet 768x1024: nav tabs visíveis e clicáveis",""
"failed","Sat May 02 21:15:45 UTC 2026","Sat May 02 21:15:46 UTC 2026","531","mobile-chrome","e2e/navegacao.spec.ts","Navegação — anônimo e logado > logado","","","@core tabs LOGADO: contagem >=3 (Partidas/Melhores/Calendário no mínimo)",""
"failed","Sat May 02 21:17:47 UTC 2026","Sat May 02 21:17:56 UTC 2026","9711","webkit","visual/pages.spec.ts","Visual regression","","","@visual modal de partida finalizada",""
"failed","Sat May 02 21:12:37 UTC 2026","Sat May 02 21:12:37 UTC 2026","901","chromium","a11y/pages.spec.ts","","","","@a11y termos de uso sem violations serious/critical",""
"passed","Sat May 02 21:14:05 UTC 2026","Sat May 02 21:14:17 UTC 2026","11798","webkit","e2e/calendar-mensal.spec.ts","Calendar mensal — home widget","","","@core click ""Go to next month"" altera o heading do mês visível",""
"passed","Sat May 02 21:12:58 UTC 2026","Sat May 02 21:13:10 UTC 2026","11577","chromium","e2e/calendar-mensal.spec.ts","Calendar mensal — home widget","","","@core click ""Go to next month"" altera o heading do mês visível",""
"passed","Sat May 02 21:14:17 UTC 2026","Sat May 02 21:14:21 UTC 2026","4118","firefox","e2e/home-loads.spec.ts","Home page — carregamento básico","","","@smoke @core home carrega com title correto e sem erros críticos no console",""
"passed","Sat May 02 21:13:38 UTC 2026","Sat May 02 21:13:47 UTC 2026","9413","webkit","e2e/busca-time.spec.ts","Busca por time — typeahead","","","@smoke @core preencher filtro time dispara request /team/?name=",""
"broken","Sat May 02 21:15:32 UTC 2026","Sat May 02 21:16:05 UTC 2026","33388","webkit","e2e/match-modal-close.spec.ts","Modal de partida — botão Close","","","@core Botão Close (X) fecha modal de partida e volta pra home",""
"passed","Sat May 02 21:13:32 UTC 2026","Sat May 02 21:13:38 UTC 2026","5944","chromium","e2e/navegacao.spec.ts","Navegação — anônimo e logado","","","@core tabs anônimas: Partidas + Melhores momentos visíveis; Favoritos/Calendário NÃO",""
"skipped","Sat May 02 21:14:26 UTC 2026","Sat May 02 21:14:26 UTC 2026","0","mobile-chrome","e2e/calendario-page.spec.ts","/calendario — página dedicada (logado)","","","@core /calendario tem switch ""Partidas favoritas""",""
"passed","Sat May 02 21:14:29 UTC 2026","Sat May 02 21:14:34 UTC 2026","4751","mobile-chrome","e2e/home-loads.spec.ts","Home page — carregamento básico","","","@smoke @core home carrega com title correto e sem erros críticos no console",""
"passed","Sat May 02 21:12:35 UTC 2026","Sat May 02 21:12:37 UTC 2026","1636","mobile-chrome","api/endpoint-perf.spec.ts","API perf — /match/?status=ENDED","","","@api responde dentro do budget hard (<10s) e idealmente <2s",""
"skipped","Sat May 02 21:13:01 UTC 2026","Sat May 02 21:13:01 UTC 2026","1","chromium","e2e/calendario-page.spec.ts","/calendario — página dedicada (logado)","","","@core /calendario carrega para usuário logado, mostra side panel + grade semanal",""
"skipped","Sat May 02 21:13:38 UTC 2026","Sat May 02 21:13:38 UTC 2026","1","chromium","e2e/profile-popover.spec.ts","Profile popover (avatar logado)","","","@core Avatar click abre popover com 4 ações (Editar, Excluir, Sair, Switch Google Calendar)",""
"broken","Sat May 02 21:14:49 UTC 2026","Sat May 02 21:15:21 UTC 2026","32435","chromium","e2e/responsividade.spec.ts","Responsividade — mobile e tablet viewports","","","@core mobile 375x667: home renderiza, sem overflow horizontal, lista visível",""
"failed","Sat May 02 21:14:09 UTC 2026","Sat May 02 21:14:26 UTC 2026","16351","mobile-chrome","e2e/buscar-avancado.spec.ts","Busca avançada — typeahead, combos e reset","","","@core combinar filtros time+campeonato sem erro de runtime",""
"failed","Sat May 02 21:12:44 UTC 2026","Sat May 02 21:12:44 UTC 2026","423","chromium","a11y/pages.spec.ts","","","","@a11y home logada sem violations serious/critical",""
